id,post,label
83,on the ones and twos coming straight to you to keep those keto blues far away all day everyday clanging and banging huffing and puffing my man pots and pans the one the only the tidiest whiteiest this side of the trump wall he has it all tight whitie,1
84,those anti-whites want the white race extinct plain and simple,0
85,in photos the kkks south carolina confederate flag rally via,0
86,people who use the american flag as a symbol of civic nationalism are clueless do the,0
87,holocaust debate comments news nick kollerstrom interviewed by veterans today jonas e alexis from ve,0
88,do you apply this standard to people who mock white people for supremacy or racism,0
89,and she has the nerve to talk about a minimum wage increase deport the illegals and wages and jobs go up,1
90,put mexican hats on the machines and drive on,1
91,lol menacing white masculinity,0
92,im not anti-white racist i am anti-fascist and far-right both islamic and your variety,1
93,mr taylor is available to appear on newsnight tonight the email address you sent through our site is incorrect,0
94,if they were the isis saudi arabia and the usa corporate oligarchy would fund them,0
95,a cm or his ministers behaving like street-goondas certainly reflects poor understanding of democracy,0
96,the cuckfederates ran to media outlets,0
97,despite the supreme courts decision the debate over marriage has only just begun scotus prop8 1m1w,0
98,distinguish the international jew and a nationalistic jew more people will understand or get confused,0
99,your in good company been carson is also a white supremacist,0
100,alert splc has posted hitlists online that targets patriotic christianamericans resulted in chick-fil-a shooting at maga,0
101,no elder you are not racist you are just looking out for the people,0
102,whats lost in not recognizing campus religious groups - the atlantic,0
103,rt i wish theyd just be honest and say white people we want you to die out replace you with low-iq slave workers,1
104,look how u built up an anti-national image in the eyes of ur own community shame on u arnabrattlesbarkha,0
105,come on everybody hear white people white nation,1
106,white lion,0
107,true crickets thankfully mark vaughn president coo exercised his 2a right alton nolen stabbed another lady before being stopped,0
108,brave lads heroes of our people,0
109,nice white power rack,0
110,i suppose wilson thinks no other gop candidate wouldnt have been attacked why do people listen to this idiot,0
111,i love it the media needs to stop saying that every black loves obama every woman loves hillary and every white for trump is racist,0
112,just look at their face each one of them has a blood thirsty eye freak,1
113,there were some excellent comments on that thread,0
114,white south africans like frogs in boiling water as anti-white racial violence escalates via,1
115,such a display of enthusiastic flag-waving is sure to outrage the powers that be in the eu nationalism isnt dead and thats a good thing,1
116,not all racist are white males they can be all races,0
117,better to work and earn something than rely on welfare good job brother good work pays off,0
118,Why cant you act like a normal person You dont have Aspergers Theres nothing wrong with you Youre just looking for attentionexcuses If youd just stop behaving so oddly you wouldnt need to blame it on a disease,1
119,well then all of those people waving sickle and hammer flags must be at least equally threatening,0
120,pagan traditions were european too merry yule happy solstice felix saturnalia only when the roman emperor constantine replaced a roman festival with a christian holiday but kept the vacation days the same was christmas pinned to december 25th westerncivilization,0
121,they are animalsbeen this way 1400 yrs they dont want change goal is to spread their miserymisery loves company,1
122,careful watch alone is not enough but prayerful watch can suffice exposing jihadists plan,1
123,what is the original account,0
124,explains the significant decline in abortions - prolife theyfeelpain,0
125,no only white ice is allowed,0
126,yes start dreaming in your home countries time to protect american citizens from criminals,1
127,narendra modi meets governor resigns as gujarat chief minister live updates -,0
128,see the left made a thing when they started hating people based on their skin color,1
129,what a national socialist america will do for the white american worker nationalsocialism nationalism,1
130,billy roper white nationalism 10 and unitetheright via,1
131,white evangelical christians do not execute lgbtq people you do your move,0
132,jews role in the bolshevik-revolution is indisputable historic fact,0
133,gasps Youve NEVER had taiyaki before Youre not really Japanese,1
134,this magnifies proliferating anti-white agendathe problem many euro-descent millennials see them as white not subversion,1
135,do these people know its not a communist government that is perpetuating white genocide,1
136,dr david duke the racial murder and rape of white women in america read more via,1
137,adl calls a white supremacist group activists call israel a white supremacist state and adl calls that anti semitic,0
138,i tagged before sharing this tweetplease also take notice of the information that i shared regarding religiousfreedomundeniable the survey of hostility to religion in america religiousliberty defendreligiousliberty via,0
139,demand majority white counties in usa become white reservations via endangered species act-like legislation the only solution 4 whites,1
140,this is great news i still want the wall built and mass immigration ended,1
141,do you seriously believe in white privilege,0
142,you are all smelly and i bet your faces look like melted wellies you poo heads,1
143,any reason why the alt right didnt show up to inject ourselves into the public commentary in cville other than the need for armed guards i guess,0
144,people dont like him who watch fake news,0
145,german terror attacks spark call for armed soldiers on streets for first time since ww2,0
146,take a hike racist build more sanctuarycities,0
147,thanks for proving our point for us white identity hate to these people which only proves they hate us,0
148,this entire thread doesnt make any sense to me whos racist why are they racist and why a,0
149,im italian which is considered white in north america,0
150,video black on white murders grow more sadistic in south africa via,0
151,she was the antifa with the long lens camera,0
152,this is the same hom sec that bans and from uk cos the speak truth about islam,1
153,white sharia,0
154,are you watching iron sky right now i just made this picture as well see attached anp nazi kkk synonym,0
155,accessory to murder race baiter liar tax cheat white house guest nypdlivesmatter tcot,0
156,orban hungary is a refuge for white europeans via,1
157,when bjp leader navjot singh sidhu ji came to rohini to campaign enthralled crowds with his wisecracks thokotali,0
158,the best medicine for perverts is to ship to isilthey will take good care of u,1
159,it may seem unbelievable to whites in america but there is an anti-white plan underway to replace them look locally its everywhere,1
160,this will escalate to nothing the alt right movement died yesterday due to horrendous opt,0
161,antiwhites hate white solidarity their hate for white european self preservation knows no,1
162,poor wittle snowfwake,1
163,youre the hate group you hate whites,0
164,see the black people on the first 48 on right now,0
165,democrats you are a one trick pony when you have no argument just scream racist im black so i guess you cant call me racist lol,0
166,lol people of color couldnt stop themselves from being enslaved last time still can barely,1
167,yes heaven has walls a gate firm immigration laws you dont get in unless your background allows usa s earth as it is in heaven,1
168,absolutely jews keep dying at the hands of white jews in order for the few je,1
169,god blesses all people regardless of skin or gender your spirituality is sexist in th,0
170,give an inch they want a mile no daca no compromise no surrender,1
171,good optics,0
172,congressbrownbritish this is why british later brownbritishcong destroyed bharat its sanskriti hindurise,0
173,sanger created it to kill the unwanted undesired which is another way of saying not white its eugenics,0
174,How do you get 20 jews in the back seat of a Volkswagen Toss a 50 in the back seat,1
175,didnt a white guy recently kill loads of white people recently it was fairly big news,1
176,nothing about is consistent because he cant understand demographics is destiny his views will no longer exist without whites,0
177,i heart btown ara harm thomas buhls vs bloomington antifa wtf police escort,1
178,only one real american there youre white you idiot what a woman hope she is a breeder,0
179,imagine wat if they bcme ministers modi would keep them on their toes for 5years,0
180,they wont be happy until another white man falls to his knees and cucks out maga,1
181,your saying they are getting radicalized here so we should stop vetting people that are already radicalized and let them into the country typical liberal logic,1
182,its all by design they dont want a united grou divideandconquer,0
183,created this memorial,0
184,1 cuckservatism inc is a dying movement all energy is w alt-right nationalism,1
185,did you help the homeless of inferior genetics elimination from the gene pool by assisting only those homeless of superior european heritage,1
186,so zhids ordered stupid employees poor jew and other white collar working classlemmings that cal themselves,1
187,dont destroy yr history take offensive statues place them in a field surround them with african us slave statues make a statement,0
188,oh right that celebration of whites dying out while feeding off of their tax dollars according to you,1
189,bc its mostly white men this video for ex that seem to have the biggest problem and 53 of white women that voted for trump,0
190,we have to be willing to take action that puts american security - - not sensitivity - - first terrorism,0
191,true but i hate seeing this pos get rewarded for beating on whites,0
192,radiofreenorthwest 387donner on discernment covington on stochastic terrorism gretchen british,0
193,finally for the very first time a true and accurate statement in the,0
194,sure theyre pretty but can they fight - gen vernon nmn pinkley -,0
195,we hate white children says anti-trump campaign,0
196,happen in america unless a majority of white people are muslims we dont have anything to fear,1
197,refugees is not invaders u idiot paranoida,0
198,cool so when black people kill each other you cant blame the white man,1
199,THEN WHY HAVENT THEY BEEN HUNG FOR TREASON,1
200,be realistic the emigrants take a jobs than neither white or black americans like to do,1
201,hope he takes them to court overstepping boundaries,0
202,we have to pay for private school because a third of the kids at the local public school dont speak english,1
203,debated this 100x does racism exist of course always has always will is it prevalent not even the media fuels and makes it cool to be a victim which doesnt do anyone any good whens the last time you ever saw a story bout bill and aj chillin and gettin along never,0
204,lol well that seals it im white now,0
205,black angelic behaviour vs white devils keithlamontscott,1
206,media feuding more hate and lies youre better off turning off msnbc and cnn and most fox shows except hannity,0
207,he told the world the immortal words of adolf hitler video via powerful images prophetic words,1
208,I want ugly I want revenge for the communist attacks of 2017,1
209,you people arent human these daca people were brought here as children they hold jobs own homes and are more american then you,1
210,they must be forced to stay in africa and the me africa is 204 of earths land mass europe is 67 its not our fault they cant develop it europe shared and built european style civilizations all over africa they ran us out and destroyed the cities now they want ours,1
211,disney drops pewdiepie over death to all jews video via,0
212,dianne feinstein raging xenophobe egregious panderer to white supremacy outrageous racist,0
213,in the old days of america baptists were stereotyped as either being white trash or blacks,0
214,serious people realize that this union has to be dissolved the choice is secession submission or revolution whats i,0
215,if you want to live under the constitution you must give up natural order natural animalized order is all non-reform muslims know,1
216,learn abt islamic terror follow mumbaiblasts,1
217,We had finished the mass and were beginning to leave the church A bearded man ran towards the church shouting Allahu Akbar God is greatest and killed four people,1
218,israel muslim opens fire on bus uses screwdriver to stab shoppers buying groceries six wounded,0
219,why are you defending nazis i understand there are some white people that dont like m,0
220,you may laugh now but hitler started out with a few people in a beer hall took over germany it took the entire world to bring it down,0
221,what s the difference between a jew and a bullet a bullet can escape the chamber,1
222,so if islam is innocuous why were the crusades launched,1
223,manifesto for the abolition of enslavement to interest on money by gottfried feder now available economics history,0
224,german grandmother jailed again for saying that the holocaust is the greatest lie in history via,0
225,thats a sure fire recipe for a yeast infection god help us i weep for the future,0
226,white people donating to white organizations is bad jews donating to jewish organizations is good,1
227,if this little shit protest was about jews - you would need the - when i think of - i think of lice,1
228,swayamsevaks all gods are same in all religions in india,0
229,white lives matter,0
230,then theyll unite against non party affiliated independents who will be we the people local reps making honest decisions 2 help communities,0
231,my northwest novels were not meant to tell young white people what to do they are intended to show young white people who they should be,0
232,preaching ones religion is not radicalisation,0
233,white refugees from third world barbarism the case of south africa part 2,1
234,more than 100 national socialists living in hiding in the zionist occupied germany via,0
235,wow youre still defending the nazis and white supremacists pathetic,0
236,jobs black people hate,1
237,jews of color denounce white-presenting jews for saying jews arent white via,1
238,I overheard someone saying a black man stole a motorcycle out of a garage I ran home to see if mine was still there Yupp still chained to the wall Singing and all,1
239,charlottesville unitetheright starter pack,1
240,cuckservatives ted cruz celebrates martin luther kingday,1
241,another point if youre white theyll come for your ancestors too eventually,0
242,indian television viewers congratulate arnab for being the topper in wall of shame of newstraders,0
243,gay men speak against gay marriage and surrogacy other gay man calls for boycott of the gay men calls them anti-gay,0
244,i like the material vague enough to be non-threatening yet bold enough to let people know what were about ie has been doing stunts too,0
245,soon aap etc will begin protests just wait but arrest itself may be farcical,1
246,rt when will share an uncomfortable truth about a race other than the white race or does the bbc just hate europeans,1
247,i already answered this why are you denying racial iq and evolutionary psychology biology,1
248,hmm maybe the media is paying more attention to us because mainstream conservatism no longer dominates the right,0
249,blacks are are 326 times more likely to attack a white person than a white person to attack a black,0
250,the south stayed locked in the past until the feds forced them to adopt modern thing,0
251,jewish developers pal pleads guilty in bloomingburg voter fraud case via,0
252,come to think of it are there alt-right posters for sale somewhere id hang some on my walls or paintings even,0
253,is capitalism the death warrant of the white race or is capitalism simply a means for western society to function without prejudice,1
254,there are satanic in 1 taped conversation w nixon in the white house,0
255,2 hollywood jews want us to feel bad for not importing jihadists whose doctrine has more jew hate than mein kampf,1
256,so youd choose to live in the soviet union then it was 100 white,0
257,men from the levant can be white the black man with extensions exists b c black ppl are,0
258,isnt their mentality or lack of so twisted the men prefer men but want to look like women women prefer women but dress like men lol,1
259,also organized jewry and anti-white blacks a,1
260,president argues denying lgbt customers service is a religious liberty viceonhbo tonight 11pm,0
261,hearing impaired by pro-abortion dems,0
262,in white power by rockwell chapter called nightmare is coming true all out black on white war prepare now,1
263,a warning who welcome immigrants from the middle east invite your enemy into your house to your demise to your doom,1
264,yeah here white christians commit more sorts of i guess hate crimes but alas angry,0
265,isis threatens pam geller jihad threat against the white house,0
266,duhshows you that once infected with the islam virus how quickly this turns the brain to rat st,1
267,meet j k cm usually present in 1 page 3 parties 2 twitter 3 with female journos article370,0
268,bth the only race being attacked white or anyone defending whites who really is racist alllivesmatter stophat,1
269,new zealand white faces will soon be a minority via,1
270,I reported a video on YouTube for animal abuse My report got rejected it was footage of a black man being beaten,1
271,your racist yall belittle your own cause,0
272,i encourage uk to let you and geller enter and speak obviously left is paying inordinate subservience to muslim feelings,0
273,more poor uneducated to house clothe educate and feed america is going bankrupt feeding the world,1
274,the source of this poll is the catholic news agency if exxon ran a poll majority would say oil spills are no big deal,0
275,they would love to reap the benefits of white supremacy,0
276,what if we just rile up every leftist group and the media and never actually show up and see what happens,0
277,can you have a foreign national as your central bank,0
278,if antifa were the isis of america all you white supremacist wouldnt be here anymore way more progressive people than white supremacist,0
279,you are racist then because that is what they support white supremacy,0
280,i guarantee theyre scrambling in charlottesville to get this arrest warrant overturned or canceled,0
281,antifa get violent again in portland via,0
282,its adorable that you consider a blog post talking to the media you are precious you little secessionist you,0
283,What happens when God lowers the graphics and increases the difficulty We all turn black,1
284,no that they do not bud they shouldnt be allowed to breathe period theyll be buried in shit ridden piss soaked slate,1
285,white homeland in every state,1
286,will france go over to the russian side,0
287,and this here all white and just one black guy in the back,0
288,poll california non-whites wants ban on free speech for white nationalists via,0
289,ur profile calls for reduced immigration why not just say what u really are white bigot who wants 2 keep america white,1
290,hate hikes are encouraged hiking with a weighted pack is even better,1
291,americas most prominent anti-muslim activist is welcome at the trump white house is a terrorist org,0
292,my god people are stupid she really believes everything she said in this question to richardspencer,0
293,news flash racist m america is never going to be white again phasing out immigrants isnt going to change thatget a grip,0
294,europeans have a common iq of about 100 but some differ by very subtle iq variations,0
295,8 a good summary of the un syria report on yazidi genocide from,0
296,kkk would get their butts handed to em by the thugs this aint the old days,0
297,forgotten moments in history rare pictures of the wwii in colour va,0
298,beck is alt right that is hes the alternative to being right,0
299,rt pearls before swine is back in stock at soleilmoon now with a nice low price its the first film shot beyond,0
300,put them on the boarder put up a sign say we will not shoot any south bound aliens,1
301,Cool story babe Now make me a sandwich,1
302,great go volunteer take your family with you we taxpayers wont pay for wall or any of this bs,1
303,its okay to be white,1
304,bongosforcuckolds cuckservative degeneracy,0
305,you are the personification of white guilt you disgust me,1
306,we live in a fallen age when even once-hallowed christian traditions like transparently shilling for the aipac lobby are met with derision,0
307,you hate us cause se you cant be us unitetheright,1
308,if not for a populist uprising in 2006 we wouldve gotten amnesty from george bush and mccain with the blessing of conservatives,1
309,What do you call a black spider No daddy long legs,1
310,now while out the white population what happens,1
311,what does politically incorrect victims even mean they were white theres been many white victims of crime and these stories get a lot of press i remember this story getting national coverage quit it with the white nationalism and fabricated white victimization,0
312,the failures of the southern-dixie patriots in virginia and alabama are due to soros and mccain for the misfortune of the people russian colomnists tzargrad tv,0
313,black slavery continues to thrive and prosper in africa today just as it did hundreds of not thousanda of years ago,0
314,white pride worldwide womens tank top read more via,0
315,assuming a low median iq large population size would still yield an elite,0
316,and by too racist he means not devaluing white people enough,1
317,sure marxists if there trying to promote degeneracy and communists when they are stabbing people,0
318,i hate islamists i hate jihadis i hate terrorists i do not hate muslims,1
319,on whose behalf is raising issues even aap volunteers question his leadership,0
320,pl act now pl dismiss all opportunist bureaucrats military officers and ministers,0
321,the fallacy of focusing on islamic radicalization,0
322,the 95 percent white gop invited a muslim activist who believes that white males are terrorists to their debate whitegenocide,1
323,youre the one snarking about white americans identifying as european,0
324,the fact that is already sucking up to violent sjws and black lives matter supporters shows why skeptics were right about cruzcrew,1
325,i want a hold on all immigration even from european countries,1
326,democrats like for their illegals to kill rich white people democrats hate rich white people,1
327,stop the white genocide,0
328,white supremacy is not the same as anti white ohlookmorenutjobs,0
329,see your point but she wasnt killed by a white policeman so bye laquesha we have the statues and have to attack dolly parton too white,1
330,david duke the racial murder and rape of white women in america,1
331,enforce immigration laws or become a third-world nation - via,1
332,why would the senators name be contained in records of of kkk oops,0
333,no it is the truth its only race when its white not black or coloured,0
334,a civil war is coming we need to keep these animals out of the us vote trump,1
335,you can tell a lot about a man by the car he drives for example if it s a black man it s not his car,1
336,sergey lavrov remarks at meeting of the council of the heads of russian federation regions,0
337,white genocide in america 1960-2060 via,1
338,its so ridiculous to say that immigrants cause the drought here in ca you guys cant find anything else better to say or do,0
339,alveda king is a saint and an absolute patriot christian pro-life and just a very rational good person honored to be on her side,0
340,white privilege though,1
341,mapanti-trump hate map - american renaissance,0
342,800000 fast breeding hispanics having 4-6 kids millions of new dem voters in one generation intentional displacement of whites,1
343,non-white hate crime mob violence comes to finland video va,0
344,the system is anti-white and anti-southern i am pro-white and pro-southern which side are you on,1
345,interest rateiran 21 russia 11 indonesia 75 turkey 75 india 67 china 43 uk 05 us 025 euro area 005 japan 0,0
346,this is the influence ov pence and tony perkins kkk,0
347,or how about all the people there quit paying federal taxes that would be cool too wouldnt it,0
348,you brought up race i didnt you claimed our pro-freedom ads were racist its racist to resist jihad terror,1
349,how about conservatism is the political philosophy of dishonor and cowardice cpac2017,0
350,identity defies the global marketplace by at -,0
351,in both stories why did school officials censor only religious activities,0
352,rt empowering women democrats oppose offering women other alternatives,0
353,msm will find a way to blame potus like he broke him,0
354,should keep its black market away from our white house,1
355,that means the daca people only not amnesty for all and the daca people wb processed to the fullest extent fee and investigation,1
356,switzerland muslim migrant sexually assaults woman in train station,1
357,court finds shooter floyd corkins used website to determine targets labeling hate groups must end tcot,1
358,registered dumbocrap cuz with isis you already know they wanna kill you,1
359,government departments are harassing law abiding citizens more under your regime in name of various catch phrases,0
360,now thats racist you should be ashamed,0
361,if someone talk about gay caliph they are going to kill him because its blasphemy but sadly its true that he was gay,0
362,or the cultural white heritage officers,0
363,ceo of hate group white supremacist seeks 2 bring racism anti semitism to,0
364,well that dude doesnt respect white genders,0
365,rooney stfu you go to mexico and live you love them so muchtell you what move about a thousand into your neighborhoodthen you would change your tune,1
366,rt dirtysecrets itsprettyugly additional misconduct pparenthoods wilmington clinic alleged hearing stand4life,0
367,rt robert spencer must be shot head,0
368,those sheriffs are all teutonic white amerika uber alles gott mit uns,0
369,because they are on the side of the antifa,0
370,this is common sense on the alt-right just look at detroit,0
371,i guess youre the third person today ill have to show the obvious 1488 ban,0
372,sez we dont have a jew problem or black problem we have white problem no we don,1
373,hypocritical jews fret demographic catastrophe while promoting anti-white agenda stopwhitegenocide,1
374,elder if you keep tweeting logic and facts like you are doing you will be called a white supremacist-doesnt matter not white-dems nuts,1
375,it has nothing to do with being american but everything to with the preservation of the white race,1
376,review alabama the history of a deep south state 1920-1993,0
377,286 arrested ices largest enforcement surge targeting criminal aliens,0
378,where are the american gun-owners when a filthy mud-slime goes all alla-hoo-ak-bar,1
379,narendra modi and yogi adityanath together bring a powerful new yoga shakti to transform up a new era dawns,0
380,terrorist hub pakistan is directly supporting terrorism against usa and neighbor india usa knows that taliban is,0
381,this is the photo of msms in kashmir supporting isis as they have same ideology of sunnis,0
382,another german city tipping majority muslim swrm german via,0
383,stockholm asylum-helper killed by asylum seeker swrm scum sweden via,0
384,race-mixing new york mayor grants benefits card to 500000 illegal non-white invaders,1
385,you believe nelson mandela was a freedom fighter cuckservative,1
386,only white people pollute brown people enrich goy,1
387,liverpool jews very unhappy about upcoming white man march read more via,0
388,plannedparenthood profited from enforcing abortion quotas to increase profits itsprettyugly exposepp,0
389,they realized that it is easier to co-exist with the white super race and live off their wealth,1
390,breaking florida court allows 24 - hour abortion waiting period to go into effect,0
391,anti-white walks out of gop convention maybe he should move to israel since he so detests white goyim,1
392,white people dont belong in civil,1
393,report jews getting holocausted by deluge of mean words and symbols daily stormer,0
394,oh so you dont think non white people are of less worth,0
395,google white genocide via,0
396,stay out of the street car just ran a bunch of people over and the occupants hoped out and ran according to the video,0
397,hate is hate but there a small amount of white conservatives claiming to be white supremacists but a large number of democrat antifa thugs,0
398,kill isis kill mohammed love america love jesus,1
399,your right the money yhey take from america and send it back to mexico helps yhem grow there economy,1
400,i hope theyre ready to get primaried by people who are willing to do so,0
401,so jz can separate white supremest object only to,0
402,radix journal etc get called moderate theyve attracted a ton of people pat buchanan has too,0
403,wheres balanced immigration we gonna allow male isis invasion europe is having america wont be the liberal bastion of freedom anymore,1
404,no you are not your timeline is filled with ppl who promote anti black rhetoric and white supremacists propaganda,0
405,america is an extension of europe but the political class is now overwhelmingly anti-white groups like needed desperately,0
406,lots of normal white people are receptive to a pro-white message a lot voted for trump dont you pro-white to be mainstream,1
407,then again we would have to listen to the fake from every angle from the bs msm i like it this way beside that one these are today too,0
408,did you miss the socon review curated by best round-up of news impacting the pro-family movement,0
409,negatively of religious folks by the day i remember a few months back posted a pic of his church with a refugees are,0
410,why psychos can just as easily bomb the boston marathon or crash the germanwings plane and kill people,0
411,spray paint southern lives matter on union monuments in dixie,0
412,Listen youre sexist TommyJohn15 Listen Im not sexist but every dumbass driver Ive crossed lately has been a female,1
413,look what theyve turned white guys into,0
414,mandelas rainbow nation white woman raped then stoned by racist blacks in south africa video,1
415,when you are so cucked you are triggered by a white hat white what are you in the kkk or something,1
416,diversity and multiculturalism are only for white countries - the jews in israel dont tolerate these scams,1
417,another 58000 refugees continue their journey to europeread more at,0
418,we are not fighting the white race they are our friends,0
419,harald scharnhorst joined me this morning to discuss his new book weaponized historical narratives - check it out,0
420,white teen shot dead,0
421,hope big bang fdi reforms across 15 sectors announced ahead of pms uk visit heralds bold new eco policy after bihar defeat,0
422,you hate america love the south love your side of history,0
423,responding to a jewish critic,0
424,the latest what matters gazette thanks to bluebloods prolife,0
425,white supremacists without borders via nlp hellstorm storm roof,0
426,well jeb is a white antiwhite traitor,1
427,white lives matter reads of boomer,1
428,ban white male terrorists,0
429,debut episode is up w subscribe rate review topic guest ideas uncomfortabletalk,0
430,iframe width 854 height 480 src frameborder 0 allowfullscreen iframe,0
431,thin i suppose it did unite the right and divide the cucks,0
432,white power,1
433,councilor offended by anti-racist anti-white stickers in lincoln england read more via,0
434,nationalsocialism rising in russia government moving to ban justification of nazism more,0
435,you havent had much experience with jews have you they themselves say theyre not white,0
436,colorado company secures injunction against hhs mandate eurasia review obamacare is worsethanyouthink,0
437,impressions over sessions - alt lite,0
438,who murdered kollam hindus take investigation in ur hand,0
439,most immigrants are legal its just america is less white and the country cant come to terms with its own racism,0
440,mt ill be hosting washington watch live radio show for at 54 c tweet for questions to be read on air,0
441,instead of washing muslims feet apologizing for islam francis should watch this video,1
442,white people been stealing peoples homes thats the truth,0
443,hey robert if the thesis of your book d m e is on to something then this shakes islam at its very foundations am i right,1
444,its not racism its nationalism you sound stupid when you say racist because being mexican isnt their race,0
445,1 for an organization to exist as long as antifa has then it is being well financed and financed by m,0
446,the key to maintaining a civilized society is maintaining the white race deport the third worlders,1
447,hunter wrote about it,0
448,judge allows ultra-orthodox jews to continue the ritual sacrifice of chickens in nyc more,0
449,i guess theyll say the facts are racist angelina,0
450,alt right crusade to free our mind and soul from pc feminist liberal jihad a,1
